"code_module","code_presentation","id_student","date_registration","date_unregistration"
"AAA","2013J","256815","-117",""
"AAA","2013J","258392","-68",""
"AAA","2013J","258894","-172",""
"AAA","2013J","260355","-186","170"
"AAA","2013J","262011","-145",""
"AAA","2013J","262934","-191",""
"AAA","2013J","268073","-33",""
"AAA","2013J","268733","-17","187"
"AAA","2013J","271251","-68",""
"AAA","2013J","277880","-108","177"
"AAA","2013J","279572","-138",""
"AAA","2013J","281022","-74",""
"AAA","2013J","281250","-64",""
"AAA","2013J","281589","-50",""
"AAA","2013J","282821","-107",""
"AAA","2013J","286488","-8",""
"AAA","2013J","287548","-52",""
"AAA","2013J","290201","-96",""
"AAA","2013J","290757","-141",""
"AAA","2013J","291334","-132",""
"AAA","2013J","292923","-162","-121"
"AAA","2013J","293699","-27",""
"AAA","2013J","294570","-80",""
"AAA","2013J","294594","-145",""
"AAA","2013J","295741","-17",""
"AAA","2013J","296332","-115",""
"AAA","2013J","298696","-32",""
"AAA","2013J","300398","-59",""
"AAA","2013J","302302","-83",""
"AAA","2013J","305152","-18",""
"AAA","2013J","305386","-66",""
"AAA","2013J","305539","-54","-3"
"AAA","2013J","306107","-107",""
"AAA","2013J","306466","-58",""
"AAA","2013J","306897","-123",""
"AAA","2013J","307061","-31",""
"AAA","2013J","307866","-107",""
"AAA","2013J","311917","-121",""
"AAA","2013J","312537","-79",""
"AAA","2013J","312782","-59",""
"AAA","2013J","318933","-100",""
"AAA","2013J","319047","-47",""
"AAA","2013J","321942","-67",""
"AAA","2013J","324002","-32",""
"AAA","2013J","324084","-165",""
"AAA","2013J","324282","-32",""
"AAA","2013J","331358","-67","53"
"AAA","2013J","332789","-64",""
"AAA","2013J","333059","-103",""
"AAA","2013J","333323","-53",""
"AAA","2013J","334259","-32",""
"AAA","2013J","334333","-192","65"
"AAA","2013J","335764","-196","160"
"AAA","2013J","336207","-110",""
"AAA","2013J","339972","-57",""
"AAA","2013J","341872","48",""
"AAA","2013J","342007","-71","51"
"AAA","2013J","342514","-81",""
"AAA","2013J","342972","-60",""
"AAA","2013J","343446","-49",""
"AAA","2013J","344282","-12",""
"AAA","2013J","345068","-37",""
"AAA","2013J","345357","-18",""
"AAA","2013J","346025","-75",""
"AAA","2013J","346843","-44",""
"AAA","2013J","350188","-49",""
"AAA","2013J","354858","-32","5"
"AAA","2013J","357668","-38",""
"AAA","2013J","364177","-129",""
"AAA","2013J","365244","-38",""
"AAA","2013J","365642","-52",""
"AAA","2013J","366483","-4",""
"AAA","2013J","368194","-123",""
"AAA","2013J","368824","-60",""
"AAA","2013J","368963","-19",""
"AAA","2013J","376439","-87",""
"AAA","2013J","376581","-64",""
"AAA","2013J","380953","-155",""
"AAA","2013J","383254","-61",""
"AAA","2013J","386924","-192",""
"AAA","2013J","386952","-38",""
"AAA","2013J","388722","-179",""
"AAA","2013J","388885","-185",""
"AAA","2013J","390890","-31","202"
"AAA","2013J","392756","-58",""
"AAA","2013J","392931","-54",""
"AAA","2013J","393207","-38",""
"AAA","2013J","396872","-23",""
"AAA","2013J","398552","-57",""
"AAA","2013J","401869","-53",""
"AAA","2013J","402470","-130",""
"AAA","2013J","404804","-129",""
"AAA","2013J","405088","-67",""
"AAA","2013J","405961","-170","-100"
"AAA","2013J","414117","-73",""
