timestamp,action_type,item_id,cursor_time,source,user_answer,platform
1561633842775,play_audio,b1614,0,tutor,,mobile
1561633842775,submit,b1614,,tutor,,mobile
1561689677155,enter,b8519,,tutor,,mobile
1561689813184,respond,q11746,,tutor,d,mobile
1561689819602,submit,b8519,,tutor,,mobile
1561689819699,enter,e8519,,tutor,,mobile
1561689861182,quit,e8519,,tutor,,mobile
1561689861276,enter,b526,,tutor,,mobile
1561689892935,play_audio,b526,0,tutor,,mobile
1561689910018,pause_audio,b526,17372,tutor,,mobile
1561689918161,respond,q526,,tutor,c,mobile
1561689922970,submit,b526,,tutor,,mobile
1561689923035,enter,e526,,tutor,,mobile
1561689927929,play_audio,b526,0,tutor,,mobile
1561689943010,pause_audio,b526,14923,tutor,,mobile
1561689953555,quit,e526,,tutor,,mobile
1561689953590,enter,b1553,,tutor,,mobile
1561689985068,play_audio,b1553,0,tutor,,mobile
1561690048748,pause_audio,b1553,66675,tutor,,mobile
1561690057964,respond,q1857,,tutor,c,mobile
1561690062647,submit,b1553,,tutor,,mobile
1561690062720,enter,e1553,,tutor,,mobile
1561690069715,play_audio,b1553,0,tutor,,mobile
1561690103103,pause_audio,b1553,33794,tutor,,mobile
1561690147416,quit,e1553,,tutor,,mobile
1561690165339,enter,b84,,tutor,,mobile
1561690196624,play_audio,b84,0,tutor,,mobile
1561690219342,pause_audio,b84,23595,tutor,,mobile
1561690227062,respond,q84,,tutor,c,mobile
1561690231974,submit,b84,,tutor,,mobile
1561690232044,enter,e84,,tutor,,mobile
1561690240767,play_audio,b84,0,tutor,,mobile
1561690258833,pause_audio,b84,17928,tutor,,mobile
1561690290997,quit,e84,,tutor,,mobile
1561690291054,enter,b686,,tutor,,mobile
1561690322728,play_audio,b686,0,tutor,,mobile
1561690338328,pause_audio,b686,16067,tutor,,mobile
1561690341491,respond,q686,,tutor,b,mobile
1561690345692,submit,b686,,tutor,,mobile
1561690345720,enter,e686,,tutor,,mobile
1561690381687,quit,e686,,tutor,,mobile
1561690381770,enter,b1495,,tutor,,mobile
1561690413215,play_audio,b1495,0,tutor,,mobile
1561690475486,respond,q1683,,tutor,b,mobile
1561690482256,pause_audio,b1495,70795,tutor,,mobile
1561690487617,submit,b1495,,tutor,,mobile
1561690487685,enter,e1495,,tutor,,mobile
1561690491854,play_audio,b1495,0,tutor,,mobile
1561690538884,pause_audio,b1495,47468,tutor,,mobile
1561690579658,quit,e1495,,tutor,,mobile
1561690579750,enter,l781,,tutor,,mobile
1561690585832,play_video,l781,0,tutor,,mobile
1561690750836,pause_video,l781,164815,tutor,,mobile
1561690757831,quit,l781,,tutor,,mobile
1561690758003,enter,b4834,,tutor,,mobile
1561690795921,respond,q6302,,tutor,b,mobile
1561690801004,submit,b4834,,tutor,,mobile
1561690801060,enter,e4834,,tutor,,mobile
1561690834292,quit,e4834,,tutor,,mobile
1561690834319,enter,b7619,,tutor,,mobile
1561690879522,respond,q10268,,tutor,b,mobile
1561690883316,submit,b7619,,tutor,,mobile
1561690883380,enter,e7619,,tutor,,mobile
1561690920908,quit,e7619,,tutor,,mobile
1561690920979,enter,b5253,,tutor,,mobile
1561691016055,respond,q7107,,tutor,d,mobile
1561691021572,submit,b5253,,tutor,,mobile
1561691021612,enter,e5253,,tutor,,mobile
1561691066562,quit,e5253,,tutor,,mobile
1561691066694,enter,l489,,tutor,,mobile
1561691071307,play_video,l489,0,tutor,,mobile
1561691452572,pause_video,l489,381039,tutor,,mobile
1561691513110,quit,l489,,tutor,,mobile
1561843583620,enter,b3008,,sprint,,mobile
1561843607875,respond,q4476,,sprint,d,mobile
1561843609486,respond,q4476,,sprint,b,mobile
1561843610413,respond,q4476,,sprint,c,mobile
1561843616009,submit,b3008,,sprint,,mobile
1561843616066,enter,e3008,,sprint,,mobile
1561843630405,quit,e3008,,sprint,,mobile
1561843630447,enter,b2182,,sprint,,mobile
1561843646216,respond,q3650,,sprint,b,mobile
1561843650111,submit,b2182,,sprint,,mobile
1561843650162,enter,e2182,,sprint,,mobile
1561843660664,quit,e2182,,sprint,,mobile
1561843660735,enter,b4024,,sprint,,mobile
1561843696201,respond,q5492,,sprint,c,mobile
1561843700760,submit,b4024,,sprint,,mobile
1561843700814,enter,e4024,,sprint,,mobile
1561843710988,quit,e4024,,sprint,,mobile
1561843711031,enter,b11564,,sprint,,mobile
1561843748548,respond,q17327,,sprint,c,mobile
1561843759216,submit,b11564,,sprint,,mobile
